"Value";"Purpose";"Start";"Duration (s)";"Author";"Type";"Created";"Updated"
"https://www.youtube.com/watch?v=VnJGSuwXibc";"linking";"2022-07-03T11:00:00.000+02:00";"247";"Adrián Artacho";"Video";"1676740114294";""
"https://www.youtube.com/watch?v=VnJGSuwXibc";"linking";"2022-07-03T11:00:00.000+02:00";"247";"Adrián Artacho";"Video";"1676740492231";""
"1";"commenting";"2022-07-03T11:00:06.038+02:00";"";"Adrián Artacho";"TextualBody";"1676740249508";""
"5";"commenting";"2022-07-03T11:00:08.908+02:00";"";"Adrián Artacho";"TextualBody";"1676740258600";""
"9";"commenting";"2022-07-03T11:00:14.171+02:00";"";"Adrián Artacho";"TextualBody";"1676740267449";""
"13";"commenting";"2022-07-03T11:00:23.493+02:00";"";"Adrián Artacho";"TextualBody";"1676740276191";""
"17";"commenting";"2022-07-03T11:00:33.587+02:00";"";"Adrián Artacho";"TextualBody";"1676740284720";""
"21";"commenting";"2022-07-03T11:00:42.397+02:00";"";"Adrián Artacho";"TextualBody";"1676740293069";""
"25";"commenting";"2022-07-03T11:00:50.712+02:00";"";"Adrián Artacho";"TextualBody";"1676740301393";""
"29";"commenting";"2022-07-03T11:00:59.750+02:00";"";"Adrián Artacho";"TextualBody";"1676740309372";""
"33";"commenting";"2022-07-03T11:01:07.543+02:00";"";"Adrián Artacho";"TextualBody";"1676740318136";""
"37";"commenting";"2022-07-03T11:01:15.591+02:00";"";"Adrián Artacho";"TextualBody";"1676740326582";""
"41";"commenting";"2022-07-03T11:01:24.638+02:00";"";"Adrián Artacho";"TextualBody";"1676740334835";"1676740358435"
"45";"commenting";"2022-07-03T11:01:32.421+02:00";"";"Adrián Artacho";"TextualBody";"1676740343216";""
