"Value";"Purpose";"Start";"Duration (s)";"Author";"Type";"Created";"Updated"
"https://youtu.be/cfZddzOeLxI";"linking";"2022-12-19T17:31:31.805+01:00";"";"Adrián Artacho";"Video";"1673281924831";""
"seg";"commenting";"2022-12-19T17:31:51.965+01:00";"";"Adrián Artacho";"TextualBody";"1677710414616";"1677710667169"
"seg";"commenting";"2022-12-19T17:31:58.921+01:00";"";"Adrián Artacho";"TextualBody";"1677710421223";"1677710670788"
"seg";"commenting";"2022-12-19T17:32:02.497+01:00";"";"Adrián Artacho";"TextualBody";"1677710424754";"1677710681364"
"seg";"commenting";"2022-12-19T17:32:06.155+01:00";"";"Adrián Artacho";"TextualBody";"1677710432298";"1677710685849"
"seg";"commenting";"2022-12-19T17:32:18.781+01:00";"";"Adrián Artacho";"TextualBody";"1677710442419";"1677710689508"
"seg";"commenting";"2022-12-19T17:32:27.418+01:00";"";"Adrián Artacho";"TextualBody";"1677710451271";"1677710693332"
"seg";"commenting";"2022-12-19T17:32:32.750+01:00";"";"Adrián Artacho";"TextualBody";"1677710462862";"1677710697066"
"seg";"commenting";"2022-12-19T17:32:42.870+01:00";"";"Adrián Artacho";"TextualBody";"1677710473157";"1677710701112"
"seg";"commenting";"2022-12-19T17:32:56.332+01:00";"";"Adrián Artacho";"TextualBody";"1677710479164";"1677710704566"
"seg";"commenting";"2022-12-19T17:33:07.403+01:00";"";"Adrián Artacho";"TextualBody";"1677710489696";"1677710708444"
"seg";"commenting";"2022-12-19T17:33:19.809+01:00";"";"Adrián Artacho";"TextualBody";"1677710503454";"1677710712207"
"seg";"commenting";"2022-12-19T17:33:26.196+01:00";"";"Adrián Artacho";"TextualBody";"1677710509066";"1677710715712"
"seg";"commenting";"2022-12-19T17:33:35.073+01:00";"";"Adrián Artacho";"TextualBody";"1677710517520";"1677710719853"
"seg";"commenting";"2022-12-19T17:33:41.911+01:00";"";"Adrián Artacho";"TextualBody";"1677710526747";"1677710725274"
"seg";"commenting";"2022-12-19T17:33:51.722+01:00";"";"Adrián Artacho";"TextualBody";"1677710534095";"1677710728211"
"seg";"commenting";"2022-12-19T17:33:54.990+01:00";"";"Adrián Artacho";"TextualBody";"1677710537415";"1677710731285"
"seg";"commenting";"2022-12-19T17:34:13.956+01:00";"";"Adrián Artacho";"TextualBody";"1677710556314";"1677710735242"
"seg";"commenting";"2022-12-19T17:34:18.546+01:00";"";"Adrián Artacho";"TextualBody";"1677710618795";"1677710740021"
"seg";"commenting";"2022-12-19T17:34:23.664+01:00";"";"Adrián Artacho";"TextualBody";"1677710624079";"1677710743928"
"seg";"commenting";"2022-12-19T17:34:36.034+01:00";"";"Adrián Artacho";"TextualBody";"1677710649827";"1677710747661"
