"Value";"Purpose";"Start";"Duration (s)";"Author";"Type";"Created";"Updated"
"https://youtu.be/yR4hi4hkQco";"linking";"2022-07-03T10:59:53.260+02:00";"";"Adrián Artacho";"Video";"1665928777466";"1665932810653"
"stand";"commenting";"2022-07-03T10:59:53.260+02:00";"";"Adrián Artacho";"TextualBody";"1669817748531";"1669817821234"
"Position";"commenting";"2022-07-03T10:59:58.242+02:00";"";"Adrián Artacho";"TextualBody";"1669817533989";""
"https://youtu.be/Kwzv6CQl2DU";"linking";"2022-07-03T11:00:00.000+02:00";"274";"Adrián Artacho";"Video";"1665929170346";""
"comienzo";"commenting";"2022-07-03T11:00:13.949+02:00";"";"damiancortesalberti";"TextualBody";"1670145188677";""
"music";"commenting";"2022-07-03T11:00:18.231+02:00";"";"Adrián Artacho";"TextualBody";"1669817538151";""
"https://www.youtube.com/watch?v=VnJGSuwXibc";"linking";"2022-07-03T11:00:18.253+02:00";"247";"Adrián Artacho";"Video";"1676738665441";"1676739873164"
"Torso, rodillas, Elongacion";"commenting";"2022-07-03T11:00:27.453+02:00";"";"damiancortesalberti";"TextualBody";"1670145348241";""
"knees";"commenting";"2022-07-03T11:00:28.533+02:00";"";"Adrián Artacho";"TextualBody";"1669817548668";""
"arms free";"commenting";"2022-07-03T11:00:49.255+02:00";"";"Adrián Artacho";"TextualBody";"1669817580799";""
"caida";"commenting";"2022-07-03T11:01:01.968+02:00";"";"damiancortesalberti";"TextualBody";"1670190095535";""
"horizontal- pies/cabeza unidad";"commenting";"2022-07-03T11:01:02.342+02:00";"";"damiancortesalberti";"TextualBody";"1670145482642";""
"floor";"commenting";"2022-07-03T11:01:07.647+02:00";"";"Adrián Artacho";"TextualBody";"1669817602512";""
"reach up";"commenting";"2022-07-03T11:01:10.702+02:00";"";"Adrián Artacho";"TextualBody";"1669817674789";""
"Rotación pie pelvis torso";"commenting";"2022-07-03T11:01:10.705+02:00";"";"damiancortesalberti";"TextualBody";"1670190171850";""
"draguing talon-cabeza diagonal";"commenting";"2022-07-03T11:01:13.850+02:00";"";"damiancortesalberti";"TextualBody";"1670190276904";""
"pelvis al suelo-spot hold, Talon derecho, izquierdo sigue";"commenting";"2022-07-03T11:01:18.930+02:00";"";"damiancortesalberti";"TextualBody";"1670190459872";""
"Cabeza";"commenting";"2022-07-03T11:01:21.799+02:00";"";"damiancortesalberti";"TextualBody";"1670190485344";""
"brazos reaching side";"commenting";"2022-07-03T11:01:22.758+02:00";"";"damiancortesalberti";"TextualBody";"1670190575139";""
"sit";"commenting";"2022-07-03T11:01:24.282+02:00";"";"Adrián Artacho";"TextualBody";"1669817700517";""
"fall";"commenting";"2022-07-03T11:01:33.842+02:00";"";"Adrián Artacho";"TextualBody";"1669817726471";""
"Caida lateral";"commenting";"2022-07-03T11:01:36.345+02:00";"";"damiancortesalberti";"TextualBody";"1670190616766";""
"tención, mirada high";"commenting";"2022-07-03T11:01:37.414+02:00";"";"damiancortesalberti";"TextualBody";"1670190663481";""
"Espalda suelo manos en la cabeza";"commenting";"2022-07-03T11:01:38.501+02:00";"";"damiancortesalberti";"TextualBody";"1670190743729";""
"Levantada en arco";"commenting";"2022-07-03T11:01:39.305+02:00";"";"damiancortesalberti";"TextualBody";"1670190787486";""
"stand";"commenting";"2022-07-03T11:01:39.447+02:00";"";"Adrián Artacho";"TextualBody";"1669817987091";""
"rodillas, manos pulsación. torsi sinking, cabeza suelta";"commenting";"2022-07-03T11:01:40.948+02:00";"";"damiancortesalberti";"TextualBody";"1670190895871";""
"stop";"commenting";"2022-07-03T11:01:50.244+02:00";"";"Adrián Artacho";"TextualBody";"1669818005812";""
"Wave hit";"commenting";"2022-07-03T11:01:53.114+02:00";"";"damiancortesalberti";"TextualBody";"1670190940061";""
"freeze";"commenting";"2022-07-03T11:01:54.163+02:00";"";"Adrián Artacho";"TextualBody";"1669818035187";""
"turn";"commenting";"2022-07-03T11:01:54.241+02:00";"";"Adrián Artacho";"TextualBody";"1669818019037";""
"External reaching lost of center \"non pikes"";"commenting";"2022-07-03T11:01:54.516+02:00";"";"damiancortesalberti";"TextualBody";"1670190974448";""
"center control";"commenting";"2022-07-03T11:01:58.832+02:00";"";"damiancortesalberti";"TextualBody";"1670190996019";""
"lift";"commenting";"2022-07-03T11:02:01.352+02:00";"";"Adrián Artacho";"TextualBody";"1669818049263";""
"concentración vertical";"commenting";"2022-07-03T11:02:03.420+02:00";"";"damiancortesalberti";"TextualBody";"1670191040808";""
"Caída centro bajo cambio direcciones";"commenting";"2022-07-03T11:02:07.497+02:00";"";"damiancortesalberti";"TextualBody";"1670191086715";""
"turn";"commenting";"2022-07-03T11:02:10.358+02:00";"";"Adrián Artacho";"TextualBody";"1669818073501";""
"Frente al rededor del axe";"commenting";"2022-07-03T11:02:14.441+02:00";"";"damiancortesalberti";"TextualBody";"1670191114740";""
"stop";"commenting";"2022-07-03T11:02:18.647+02:00";"";"Adrián Artacho";"TextualBody";"1669818108266";""
"Center control";"commenting";"2022-07-03T11:02:32.361+02:00";"";"damiancortesalberti";"TextualBody";"1670191166465";""
"concentración vertical";"commenting";"2022-07-03T11:02:38.816+02:00";"";"damiancortesalberti";"TextualBody";"1670191229446";""
"perdida de control espacial";"commenting";"2022-07-03T11:02:41.700+02:00";"";"damiancortesalberti";"TextualBody";"1670191255509";""
"wave hit";"commenting";"2022-07-03T11:02:52.328+02:00";"";"damiancortesalberti";"TextualBody";"1670191289524";""
"External reaching lost of center \"non pikes"";"commenting";"2022-07-03T11:02:54.417+02:00";"";"damiancortesalberti";"TextualBody";"1670191340921";""
"rodillas, manos extensión. torso sinking, cabeza suelta";"commenting";"2022-07-03T11:02:59.317+02:00";"";"damiancortesalberti";"TextualBody";"1670191420309";""
"Caída, Horizontal - pies/cabeza unidad no tencion";"commenting";"2022-07-03T11:03:14.042+02:00";"";"damiancortesalberti";"TextualBody";"1670191525763";""
"Rotación pie pelvis torso";"commenting";"2022-07-03T11:03:14.597+02:00";"";"damiancortesalberti";"TextualBody";"1670191559795";""
"draguing talón-cabeza diagonal";"commenting";"2022-07-03T11:03:18.610+02:00";"";"damiancortesalberti";"TextualBody";"1670191638330";""
"pelvis al suelo-spot hold, Talon derecho, izquierdo sigue";"commenting";"2022-07-03T11:03:22.240+02:00";"";"damiancortesalberti";"TextualBody";"1670191672146";""
"implosion lenta";"commenting";"2022-07-03T11:03:40.327+02:00";"";"damiancortesalberti";"TextualBody";"1670191727437";""
"tremolo";"commenting";"2022-07-03T11:04:00.066+02:00";"";"damiancortesalberti";"TextualBody";"1670191768295";""
