"Value";"Purpose";"Start";"Duration (s)";"Author";"Type";"Created";"Updated"
"florescence!";"commenting";"2022-09-23T22:00:55.095+02:00";"";"Adrián Artacho";"TextualBody";"1665662594415";""
"https://youtu.be/R7ClSbSmqUg";"linking";"2022-09-23T22:06:00.664+02:00";"541";"Adrián Artacho";"Video";"1665649974880";"1665668492763"
"Sound starts";"commenting";"2022-09-23T22:06:20.553+02:00";"";"Adrián Artacho";"TextualBody";"1666331548805";""
"https://youtu.be/6zQkbTzN8yY";"linking";"2022-09-23T22:06:27.000+02:00";"718";"Adrián Artacho";"Video";"1665649863305";"1665668328708"
"starting  position";"commenting";"2022-09-23T22:07:02.220+02:00";"";"Adrián Artacho";"TextualBody";"1666331599663";"1666331882840"
"arm rotations";"commenting";"2022-09-23T22:07:03.976+02:00";"8.529";"Adrián Artacho";"TextualBody";"1666331955737";"1666331993654"
"left arm rotations";"commenting";"2022-09-23T22:07:06.686+02:00";"";"Adrián Artacho";"TextualBody";"1666334189654";""
"right leg rotation";"commenting";"2022-09-23T22:07:12.624+02:00";"3.261";"Adrián Artacho";"TextualBody";"1666331633599";"1666332034222"
"elbow flexions";"commenting";"2022-09-23T22:07:15.658+02:00";"3.023";"Adrián Artacho";"TextualBody";"1666331714600";"1666332043098"
"step forward";"commenting";"2022-09-23T22:07:18.693+02:00";"";"Adrián Artacho";"TextualBody";"1666331814095";"1666331841843"
"regime change";"commenting";"2022-09-23T22:07:30.797+02:00";"";"Adrián Artacho";"TextualBody";"1666334196706";"1666334407146"
"regime change";"commenting";"2022-09-23T22:07:34.120+02:00";"";"Adrián Artacho";"TextualBody";"1666334201056";"1666334425438"
"regime change";"commenting";"2022-09-23T22:07:38.909+02:00";"";"Adrián Artacho";"TextualBody";"1666334206004";"1666334433018"
"regime change";"commenting";"2022-09-23T22:07:42.944+02:00";"";"Adrián Artacho";"TextualBody";"1666334208508";"1666334440196"
"regime change";"commenting";"2022-09-23T22:07:44.203+02:00";"";"Adrián Artacho";"TextualBody";"1666334212140";"1666334445140"
"regime change";"commenting";"2022-09-23T22:07:48.748+02:00";"";"Adrián Artacho";"TextualBody";"1666334214615";"1666334449411"
"regime change";"commenting";"2022-09-23T22:07:51.009+02:00";"";"Adrián Artacho";"TextualBody";"1666334219202";"1666334454123"
"regime change";"commenting";"2022-09-23T22:07:55.331+02:00";"";"Adrián Artacho";"TextualBody";"1666334221208";"1666334458067"
"regime change";"commenting";"2022-09-23T22:07:58.097+02:00";"";"Adrián Artacho";"TextualBody";"1666334224867";"1666334462853"
"regime change";"commenting";"2022-09-23T22:08:01.133+02:00";"";"Adrián Artacho";"TextualBody";"1666334227734";"1666334467359"
"regime change";"commenting";"2022-09-23T22:08:03.899+02:00";"";"Adrián Artacho";"TextualBody";"1666334229613";"1666334472611"
"regime change";"commenting";"2022-09-23T22:08:05.918+02:00";"";"Adrián Artacho";"TextualBody";"1666334232498";"1666334476616"
"regime change";"commenting";"2022-09-23T22:08:08.444+02:00";"";"Adrián Artacho";"TextualBody";"1666334235011";"1666334480998"
"regime change";"commenting";"2022-09-23T22:08:11.213+02:00";"";"Adrián Artacho";"TextualBody";"1666334237085";"1666334485845"
"regime change";"commenting";"2022-09-23T22:08:14.239+02:00";"";"Adrián Artacho";"TextualBody";"1666334244903";"1666334491843"
"regime change";"commenting";"2022-09-23T22:08:20.808+02:00";"";"Adrián Artacho";"TextualBody";"1666334246597";"1666334496431"
"regime change";"commenting";"2022-09-23T22:08:22.567+02:00";"";"Adrián Artacho";"TextualBody";"1666334248443";"1666334500088"
"regime change";"commenting";"2022-09-23T22:08:24.835+02:00";"";"Adrián Artacho";"TextualBody";"1666334250499";"1666334505055"
"regime change";"commenting";"2022-09-23T22:08:25.849+02:00";"";"Adrián Artacho";"TextualBody";"1666334251555";"1666334508669"
"regime change";"commenting";"2022-09-23T22:08:27.106+02:00";"";"Adrián Artacho";"TextualBody";"1666334256646";"1666334515244"
"regime change";"commenting";"2022-09-23T22:08:32.674+02:00";"";"Adrián Artacho";"TextualBody";"1666334262865";"1666334518500"
"regime change";"commenting";"2022-09-23T22:08:38.773+02:00";"";"Adrián Artacho";"TextualBody";"1666334266645";"1666334521765"
"regime change";"commenting";"2022-09-23T22:08:42.565+02:00";"";"Adrián Artacho";"TextualBody";"1666334273542";"1666334526638"
"regime change";"commenting";"2022-09-23T22:08:49.191+02:00";"";"Adrián Artacho";"TextualBody";"1666334277917";"1666334529645"
"regime change";"commenting";"2022-09-23T22:08:53.988+02:00";"";"Adrián Artacho";"TextualBody";"1666334279800";"1666334533296"
